"customerID","tenure","PhoneService","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","gender","SeniorCitizen","Partner","Dependents","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies"
"0002-ORFBO",-0.954228490471108,"Yes","One year","Yes","Mailed check",0.0266500201045108,-0.745553993340501,0,"Female","No","Yes","Yes","No","DSL","No","Yes","No","Yes","Yes","No"
"0003-MKNFE",-0.954228490471108,"Yes","Month-to-month","No","Mailed check",-0.162807034600368,-0.768008838525114,0,"Male","No","No","No","Yes","DSL","No","No","No","No","No","Yes"
"0004-TLHLJ",-1.15793381114095,"Yes","Month-to-month","Yes","Electronic check",0.302526082218634,-0.88339321491088,1,"Male","No","No","No","No","Fiber optic","No","No","Yes","No","No","No"
"0011-IGKFF",-0.791264233935235,"Yes","Month-to-month","Yes","Electronic check",1.10356380474277,-0.461206832952639,1,"Male","Yes","Yes","No","No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"0013-EXCHZ",-1.19867487527492,"Yes","Month-to-month","Yes","Mailed check",0.634906879946492,-0.889326764375184,1,"Female","Yes","Yes","No","No","Fiber optic","No","No","No","Yes","Yes","No"
"0013-MHZWF",-0.954228490471108,"Yes","Month-to-month","Yes","Credit card (automatic)",0.152954723241097,-0.755193253994407,0,"Female","No","No","Yes","No","DSL","No","No","No","Yes","Yes","Yes"
"0013-SMEOE",1.57171748583492,"Yes","Two year","Yes","Bank transfer (automatic)",1.49244933808437,2.47971615209064,0,"Female","Yes","Yes","No","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"0014-BMAQU",1.24578897276317,"Yes","Two year","Yes","Credit card (automatic)",0.659835439776081,1.3651573384037,0,"Male","No","Yes","No","Yes","Fiber optic","Yes","No","No","Yes","No","No"
"0015-UOCOJ",-1.03571061873904,"Yes","Month-to-month","Yes","Electronic check",-0.551692567941962,-0.857144427317865,0,"Female","Yes","No","No","No","DSL","Yes","No","No","No","No","No"
"0016-QLJIS",1.32727110103111,"Yes","Two year","Yes","Mailed check",0.852616302458239,1.62107198853325,0,"Female","No","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
"0017-DINOC",0.879119395557461,"No","Two year","No","Credit card (automatic)",-0.65140680726032,0.0781947231814693,0,"Male","No","No","No","No phone service","DSL","Yes","No","No","Yes","Yes","No"
"0017-IUDMW",1.61245854996889,"Yes","Two year","Yes","Credit card (automatic)",1.72843970447115,2.72345489402578,0,"Female","No","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"0018-NYROU",-1.11719274700698,"Yes","Month-to-month","Yes","Electronic check",0.137997587343344,-0.852225536869762,0,"Female","No","Yes","No","No","Fiber optic","No","No","No","No","No","No"
"0019-EFAEP",1.61245854996889,"Yes","Two year","Yes","Bank transfer (automatic)",1.21324946799297,2.19605278364848,0,"Female","No","No","No","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No"
"0019-GFNTW",0.960601523825397,"No","Two year","No","Bank transfer (automatic)",-0.656392519226238,0.122111812339194,0,"Female","No","No","No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No"
"0020-INWCK",1.57171748583492,"Yes","Two year","Yes","Credit card (automatic)",1.028778125254,2.01436264633448,0,"Female","No","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes"
"0020-JDNXP",0.064298112878097,"No","One year","No","Mailed check",-0.117935626907107,-0.127979577349549,0,"Female","No","Yes","Yes","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes"
"0021-IKXGC",-1.28015700354285,"Yes","Month-to-month","Yes","Electronic check",0.242697538627619,-0.975484549533433,0,"Female","Yes","No","No","Yes","Fiber optic","No","No","No","No","No","No"
"0022-TCJCI",0.512449818351747,"Yes","One year","No","Credit card (automatic)",-0.0697404112365678,0.224195332490853,1,"Male","Yes","No","No","No","DSL","Yes","No","Yes","No","No","Yes"
"0023-HGHWL",-1.28015700354285,"No","Month-to-month","Yes","Electronic check",-1.31949221069332,-0.996218885951445,1,"Male","Yes","No","No","No phone service","DSL","No","No","No","No","No","No"
"0023-UYUPN",0.716155139021588,"Yes","One year","No","Electronic check",-1.31616840271604,-0.431009698318322,0,"Female","Yes","Yes","No","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0023-XUOPT",-0.791264233935235,"Yes","Month-to-month","No","Electronic check",0.973935293628907,-0.471022556044145,1,"Female","No","Yes","No","Yes","Fiber optic","No","Yes","Yes","No","Yes","No"
"0027-KWYKW",-0.383853592595553,"Yes","Month-to-month","Yes","Electronic check",0.629921167980574,-0.191175187815085,0,"Female","No","Yes","Yes","Yes","Fiber optic","No","No","No","No","Yes","No"
"0030-FNXPP",-1.19867487527492,"Yes","Month-to-month","No","Mailed check",-1.49399212950044,-0.982057775334037,0,"Female","No","No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0031-PVLZI",-1.15793381114095,"Yes","Month-to-month","No","Mailed check",-1.47737308961405,-0.973609636133932,1,"Female","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0032-PGELS",-1.28015700354285,"No","Month-to-month","No","Bank transfer (automatic)",-1.14000657992027,-0.993836643043843,1,"Female","No","Yes","Yes","No phone service","DSL","Yes","No","No","No","No","No"
"0036-IHMOT",0.919860459691429,"Yes","One year","Yes","Bank transfer (automatic)",1.29302085944765,1.48821783082507,0,"Female","No","Yes","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"0040-HALCW",0.879119395557461,"Yes","Two year","No","Credit card (automatic)",-1.47571118562541,-0.526167067794176,0,"Male","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0042-JVWOJ",-0.261630400193649,"Yes","One year","Yes","Bank transfer (automatic)",-1.50230164944364,-0.799132400956832,0,"Male","No","No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0042-RLHYP",1.49023535756698,"Yes","Two year","No","Bank transfer (automatic)",-1.49897784146636,-0.391040956201899,0,"Female","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0048-LUMLS",0.186521305280002,"Yes","One year","No","Credit card (automatic)",0.877544862287829,0.425384569159668,0,"Male","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","Yes"
"0048-PIHNL",0.67541407488762,"Yes","One year","No","Bank transfer (automatic)",-1.47404928163677,-0.609854378826024,0,"Female","No","Yes","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0052-DCKON",1.36801216516508,"Yes","One year","No","Bank transfer (automatic)",1.69520162469836,2.49643596805325,0,"Male","No","Yes","No","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"0052-YNYOT",1.40875322929905,"Yes","One year","No","Electronic check",-1.47072547365949,-0.414642807230912,0,"Female","No","No","No","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0056-EPFBG",-0.506076784997458,"No","Two year","Yes","Credit card (automatic)",-0.844187669942478,-0.643161663923043,0,"Male","No","Yes","Yes","No phone service","DSL","Yes","No","Yes","Yes","No","No"
"0057-QBUQH",0.430967690083811,"Yes","Two year","Yes","Electronic check",-1.31949221069332,-0.535188709916481,0,"Female","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0058-EVZWM",0.919860459691429,"Yes","Month-to-month","Yes","Bank transfer (automatic)",0.831011550605928,1.1806658598928,0,"Female","No","Yes","No","Yes","Fiber optic","Yes","No","No","No","Yes","No"
"0060-FUALY",1.0828247162273,"Yes","Month-to-month","Yes","Electronic check",0.995540045481218,1.46214550566966,0,"Female","No","Yes","No","Yes","Fiber optic","Yes","Yes","No","No","Yes","No"
"0064-SUDOG",-0.832005298069203,"Yes","Two year","No","Bank transfer (automatic)",-1.47903499360269,-0.908252360807794,0,"Female","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0064-YIJGF",-0.22088933605968,"Yes","Month-to-month","Yes","Bank transfer (automatic)",0.364016529798287,-0.156301798584365,0,"Male","No","Yes","Yes","Yes","Fiber optic","No","No","No","No","No","No"
"0067-DKWBL",-1.23941593940889,"Yes","Month-to-month","Yes","Electronic check",-0.516792584180537,-0.967102583747428,1,"Male","Yes","No","No","No","DSL","Yes","No","No","No","No","No"
"0068-FIGTF",-0.22088933605968,"Yes","One year","No","Mailed check",0.445449825241613,-0.0901504422890271,0,"Female","No","No","No","No","DSL","No","Yes","Yes","Yes","Yes","Yes"
"0071-NDAFP",-0.302371464327617,"Yes","Two year","No","Credit card (automatic)",-1.3061969787842,-0.729098871034292,0,"Male","No","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0074-HDKDG",-0.302371464327617,"Yes","One year","Yes","Bank transfer (automatic)",-0.106302298986632,-0.296589436476445,0,"Male","No","Yes","Yes","No","DSL","Yes","Yes","Yes","No","No","No"
"0076-LVEPS",-0.139407207791744,"No","Month-to-month","Yes","Mailed check",-0.658054423214877,-0.459177514920238,0,"Male","No","No","Yes","No phone service","DSL","Yes","Yes","Yes","Yes","No","No"
"0078-XZMHT",1.61245854996889,"Yes","Two year","Yes","Bank transfer (automatic)",0.676454479662474,1.77913821701354,0,"Male","No","Yes","No","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes"
"0080-EMYVY",-0.750523169801267,"Yes","One year","No","Credit card (automatic)",-0.443668808680408,-0.686196440892768,0,"Female","No","No","No","No","DSL","No","Yes","No","No","No","No"
"0080-OROZO",0.105039177012065,"Yes","One year","Yes","Electronic check",1.14511140445875,0.550871420098039,0,"Female","No","No","No","No","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"0082-LDZUE",-1.28015700354285,"Yes","Month-to-month","Yes","Mailed check",-0.681321079055827,-0.98774868894664,0,"Male","No","No","No","No","DSL","No","No","No","No","No","No"
